Index,Task,Start,Finish,Time
0,PreIdle,2022-05-09 13:00:00.000000000,2022-05-09 13:00:06.366666667,6.3666666670000005
1,Working,2022-05-09 13:00:06.366666667,2022-05-09 13:00:27.400000000,21.033333333
2,PostIdle,2022-05-09 13:00:27.400000000,2022-05-09 13:00:37.400000000,10.0
3,PreIdle,2022-05-09 13:00:37.400000000,2022-05-09 13:00:43.100000000,5.7
4,Working,2022-05-09 13:00:43.100000000,2022-05-09 13:01:10.333333333,27.233333333
5,PreIdle,2022-05-09 13:01:10.333333333,2022-05-09 13:01:13.600000000,3.2666666670000004
6,Working,2022-05-09 13:01:13.600000000,2022-05-09 13:01:40.000000000,26.400000000000002
7,PostIdle,2022-05-09 13:01:40.000000000,2022-05-09 13:01:49.400000000,9.4
8,PreIdle,2022-05-09 13:01:49.400000000,2022-05-09 13:01:52.833333333,3.433333333
9,Working,2022-05-09 13:01:52.833333333,2022-05-09 13:02:24.300000000,31.466666667000002
10,PostIdle,2022-05-09 13:02:24.300000000,2022-05-09 13:02:27.000000000,2.7
11,PreIdle,2022-05-09 13:02:27.000000000,2022-05-09 13:02:41.433333333,14.433333333
12,Working,2022-05-09 13:02:41.433333333,2022-05-09 13:03:17.366666667,35.933333334000004
13,PostIdle,2022-05-09 13:03:17.366666667,2022-05-09 13:03:24.400000000,7.033333333000001
14,PreIdle,2022-05-09 13:03:24.400000000,2022-05-09 13:03:35.966666667,11.566666667000002
15,Working,2022-05-09 13:03:35.966666667,2022-05-09 13:04:11.233333333,35.266666666
16,PostIdle,2022-05-09 13:04:11.233333333,2022-05-09 13:04:21.700000000,10.466666667
17,PreIdle,2022-05-09 13:04:21.700000000,2022-05-09 13:04:38.366666667,16.666666667
18,Working,2022-05-09 13:04:38.366666667,2022-05-09 13:05:27.433333333,49.066666666
19,PostIdle,2022-05-09 13:05:27.433333333,2022-05-09 13:05:34.133333333,6.7
20,PreIdle,2022-05-09 13:05:34.133333333,2022-05-09 13:05:42.066666667,7.933333334
21,Working,2022-05-09 13:05:42.066666667,2022-05-09 13:06:08.833333333,26.766666666000003
22,PostIdle,2022-05-09 13:06:08.833333333,2022-05-09 13:06:16.566666667,7.733333334
23,PreIdle,2022-05-09 13:06:16.566666667,2022-05-09 13:06:25.966666667,9.4
24,Working,2022-05-09 13:06:25.966666667,2022-05-09 13:06:53.433333333,27.466666666000002
25,PreIdle,2022-05-09 13:06:53.433333333,2022-05-09 13:07:05.633333333,12.200000000000001
